,P,T,S/kB
140,69.4,3939.522034527351,6.139848871486816
141,70.51,3956.2625551562737,6.144614548967835
142,71.62,3972.6439680496396,6.149086010526566
143,72.73,3988.6786521954045,6.153277774216844
144,73.84,4004.3785608923945,6.157203571377989
145,74.95,4019.755221750304,6.160876387470816
146,76.06,4034.819736689698,6.164308500175478
147,77.17,4049.582781942011,6.167511514965017
148,78.28,4064.0546080495483,6.170496398350575
149,79.39000000000001,4078.2450398654837,6.173273508977693
150,80.5,4092.1634765538606,6.175852626738272
151,81.61000000000001,4105.8188915895935,6.1782429800491725
152,82.72,4119.219832758466,6.180453271435983
153,83.83000000000001,4132.3744221571305,6.182491701549153
154,84.94,4145.290356193111,6.184365991729286
155,86.05000000000001,4157.9749055848,6.186083405228865
156,87.16,4170.434915361459,6.187650767188898
157,88.27000000000001,4182.676804863223,6.189074483460873
158,89.38000000000001,4194.706567741092,6.190360558357031
159,90.49000000000001,4206.529771956938,6.191514611405041
160,91.60000000000001,4218.151559783503,6.192541893176768
161,92.71000000000001,4229.576647804399,6.193447300254982
162,93.82000000000001,4240.809326914106,6.194235389396312
163,94.93,4251.852054233251,6.194908402375309
164,96.04,4262.7063780989265,6.195467061711542
165,97.15,4273.376203743823,6.19591510830321
166,98.26,4283.865395687995,6.196256185190598
167,99.37,4294.177744256121,6.1964937978259
168,100.48,4304.316965577499,6.196631319298139
169,101.59,4314.286701586049,6.196671995324278
170,102.7,4324.090520020312,6.196618949018733
171,103.81,4333.73191442345,6.19647518545275
172,104.92,4343.214304143245,6.196243596014575
173,106.03,4352.541034332102,6.1959269625806
174,107.14,4361.715375947047,6.195527961507255
175,108.25000000000001,4370.740525749726,6.195049167452769
176,109.36000000000001,4379.619606306407,6.194493057037479
177,110.47000000000001,4388.35566598798,6.193862012350868
178,111.58000000000001,4396.951678969953,6.193158324313109
179,112.69000000000001,4405.410545232458,6.192384195898423
180,113.80000000000001,4413.735090560251,6.191541745227213
181,114.91000000000001,4421.9280665427,6.190633008533532
182,116.02000000000001,4429.992150573805,6.189659943014119
183,117.13000000000001,4437.929945852179,6.188624429564876
184,118.24000000000001,4445.743981381061,6.187528275410402
185,119.35000000000001,4453.436711968308,6.186373216631827
186,120.46000000000001,4461.010518226401,6.185160920597988
187,121.57000000000001,4468.467706572439,6.183892988304671
188,122.68,4475.810509228146,6.182570956626439
189,123.79,4483.0410842198635,6.181196300485251
190,124.9,4490.161515378557,6.17977043493999
191,126.01,4497.173812339811,6.178294717200625
192,127.12,4504.079910543833,6.176770448570705
193,128.23000000000002,4510.88167123545,6.175198876321571
194,129.34,4517.580881464112,6.173581195501517
195,130.45,4524.179254083889,6.171918550683017
196,131.56,4530.678427753472,6.170212037650867
197,132.67000000000002,4537.079966936173,6.168462705034017
198,133.78000000000003,4543.385361899927,6.166671555883679
199,134.89000000000001,4549.5960287172875,6.164839549200118
200,136.0,4555.713309265432,6.162967601410527
